proyecto_id,fecha_inicio,pais_id,pais,provincia_id,provincia_de_ejecución,moneda_monto_financiado,monto_financiado,moneda_monto_total,monto_total,region_de_ejecucion,gran_area_conocimiento,tipo_proyecto_cyt,tipo_organizacion_ejec
8935,2011-11-15,ARG,Argentina,82,Santa Fe,ARS, 221371,ARS, 442966,Pampeana,,Tecnología e Innovación,Empresa
8936,2009-04-15,ARG,Argentina,82,Santa Fe,ARS, 99630,ARS, 199266,Pampeana,,Tecnología e Innovación,Empresa
8939,2009-06-30,ARG,Argentina,82,Santa Fe,ARS, 88058,ARS, 176171,Pampeana,,Tecnología e Innovación,Empresa
8941,2013-02-22,ARG,Argentina,06,Buenos Aires,ARS, 139142,ARS, 280208,Pampeana,,Tecnología e Innovación,Empresa
8946,2009-05-21,ARG,Argentina,82,Santa Fe,ARS, 75330,ARS, 150755,Pampeana,,Tecnología e Innovación,Empresa
8947,2012-12-10,ARG,Argentina,02,CABA,ARS, 378569,ARS, 793748,Pampeana,,Tecnología e Innovación,Empresa
8951,2009-08-21,ARG,Argentina,02,CABA,ARS, 308089,ARS, 616179,Pampeana,,Tecnología e Innovación,Empresa
8974,2011-10-20,ARG,Argentina,06,Buenos Aires,ARS, 158480,ARS, 317815,Pampeana,,Tecnología e Innovación,Empresa
8976,2013-07-18,ARG,Argentina,06,Buenos Aires,ARS, 751000,ARS, 1505233,Pampeana,,Tecnología e Innovación,Empresa
8977,2016-01-26,ARG,Argentina,82,Santa Fe,ARS, 172636,ARS, 346136,Pampeana,,Tecnología e Innovación,Empresa
8978,2009-03-20,ARG,Argentina,54,Misiones,ARS, 59280,ARS, 124247,Nea,,Tecnología e Innovación,Persona física
8979,2013-08-26,ARG,Argentina,54,Misiones,ARS, 173650,ARS, 348830,Nea,,Tecnología e Innovación,Persona física
8982,2012-12-24,ARG,Argentina,82,Santa Fe,ARS, 243805,ARS, 487624,Pampeana,,Tecnología e Innovación,Empresa
8983,2011-07-20,ARG,Argentina,14,Córdoba,ARS, 145466,ARS, 292839,Pampeana,,Tecnología e Innovación,Empresa
8986,2008-12-11,ARG,Argentina,06,Buenos Aires,ARS, 62000,ARS, 139150,Pampeana,,Tecnología e Innovación,Empresa
8987,2013-01-16,ARG,Argentina,06,Buenos Aires,ARS, 92799,ARS, 260199,Pampeana,,Tecnología e Innovación,Empresa
8997,2011-10-05,ARG,Argentina,06,Buenos Aires,ARS, 146000,ARS, 326240,Pampeana,,Tecnología e Innovación,Empresa
9000,2013-03-18,ARG,Argentina,82,Santa Fe,ARS, 200837,ARS, 421190,Pampeana,,Tecnología e Innovación,Empresa
9003,2008-11-13,ARG,Argentina,02,CABA,ARS, 129000,ARS, 258700,Pampeana,,Tecnología e Innovación,Empresa
9004,2008-12-10,ARG,Argentina,02,CABA,ARS, 183490,ARS, 367890,Pampeana,,Tecnología e Innovación,Empresa
9005,2009-06-10,ARG,Argentina,02,CABA,ARS, 108657,ARS, 269257,Pampeana,,Tecnología e Innovación,Empresa
9007,2008-11-04,ARG,Argentina,02,CABA,ARS, 152165,ARS, 304846,Pampeana,,Tecnología e Innovación,Empresa
9008,2011-08-27,ARG,Argentina,02,CABA,ARS, 161580,ARS, 323882,Pampeana,,Tecnología e Innovación,Empresa
9009,2008-10-14,ARG,Argentina,02,CABA,ARS, 175807,ARS, 353761,Pampeana,,Tecnología e Innovación,Empresa
