proyecto_id,empresa,pais_id,pais,provincia_id,provincia,tipo_de_proyecto,fecha_inicio
12637,LABORATORIOS VANNIER S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-04-11
13132,LABORATORIOS VANNIER S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-01-10
12003,LABORATORIOS VANNIER S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2016-05-20
11022,LACBA S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-08-21
95,LACTEOS CAPILLA DEL SEÑOR SA,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2011-09-30
10074,LACTEOS LA FAMILIA S.R.L.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2008-09-09
12455,LAFEDAR S.A.,ARG,Argentina,30,Entre Ríos,Tecnología e Innovación,2011-02-22
12710,LAFEDAR S.A.,ARG,Argentina,30,Entre Ríos,Tecnología e Innovación,2014-03-14
12005,LAFEDAR S.A.,ARG,Argentina,30,Entre Ríos,Tecnología e Innovación,2016-03-10
8255,LAGASH SYSTEMS S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2007-11-12
9504,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2004-10-15
11560,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2009-01-27
12302,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2009-05-15
10416,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2010-11-02
8487,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2011-05-19
8482,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2011-05-19
10233,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2012-08-22
13269,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2012-10-24
13267,LAGO ELECTROMECANICA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2012-10-24
12873,LAHARRAGUE CHODORGE S.A.,ARG,Argentina,54,Misiones,Tecnología e Innovación,2011-12-28
12596,LAHARRAGUE CHODORGE S.A.,ARG,Argentina,54,Misiones,Tecnología e Innovación,2012-02-14
